with,height,ratio
180,180,1.0
200,253,1.265
2000,1424,1.404494382022472
450,463,1.028888888888889
1280,720,1.7777777777777777
1200,630,1.9047619047619047
557,761,1.3662477558348294
1000,1000,1.0
920,898,1.024498886414254
1330,1600,1.2030075187969924
498,614,1.2329317269076305
1210,1429,1.1809917355371902
300,225,1.3333333333333333
1920,1080,1.7777777777777777
1280,1280,1.0
600,373,1.6085790884718498
349,327,1.0672782874617737
715,864,1.2083916083916084
768,408,1.8823529411764706
2958,1938,1.5263157894736843
320,310,1.032258064516129
820,492,1.6666666666666667
180,180,1.0
1169,1436,1.2284003421727974
383,681,1.7780678851174934
636,362,1.7569060773480663
605,403,1.501240694789082
220,147,1.4965986394557824
590,363,1.6253443526170799
764,973,1.2735602094240839
4500,4500,1.0
736,736,1.0
470,366,1.284153005464481
960,359,2.6740947075208914
400,400,1.0
248,282,1.1370967741935485
1200,1200,1.0
1200,1360,1.1333333333333333
340,230,1.4782608695652173
1280,720,1.7777777777777777
1368,720,1.9
736,969,1.3165760869565217
283,322,1.137809187279152
5760,3840,1.5
226,300,1.3274336283185841
500,889,1.778
200,200,1.0
849,757,1.1215323645970938
456,612,1.3421052631578947
1280,720,1.7777777777777777
230,230,1.0
220,205,1.0731707317073171
622,350,1.7771428571428571
187,300,1.6042780748663101
1024,576,1.7777777777777777
449,372,1.206989247311828
320,460,1.4375
550,709,1.289090909090909
512,512,1.0
638,1136,1.780564263322884
177,232,1.310734463276836
500,500,1.0
999,561,1.7807486631016043
180,173,1.0404624277456647
1050,750,1.4
270,298,1.1037037037037036
780,408,1.911764705882353
200,175,1.1428571428571428
2880,1800,1.6
419,378,1.1084656084656084
600,600,1.0
391,304,1.2861842105263157
900,400,2.25
1200,800,1.5
1125,831,1.3537906137184115
1280,720,1.7777777777777777
995,1136,1.1417085427135678
600,500,1.2
567,794,1.400352733686067
219,260,1.187214611872146
1600,1374,1.1644832605531295
736,1024,1.391304347826087
456,464,1.0175438596491229
1024,768,1.3333333333333333
742,742,1.0
450,463,1.028888888888889
640,1038,1.621875
500,500,1.0
604,604,1.0
859,929,1.081490104772992
300,300,1.0
800,571,1.4010507880910683
392,262,1.4961832061068703
800,450,1.7777777777777777
600,388,1.5463917525773196
300,300,1.0
